Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude	Land Area	Water Area	Population	Housing Units
80	0	6	6000	1	424002			Census Tract 4240.02	37.850076	-122.282236	322839	0	1998	847
80	0	6	99999	1	423700			Census Tract 4237 (part)	37.859209	-122.244089	5029	0	0	0
80	0	6	53000	1	430100			Census Tract 4301 (part)	37.801561	-122.163568	103846	0	7	3
80	0	6	68084	1	432100			Census Tract 4321	37.734829	-122.145596	1054847	0	3607	1465
80	0	6	68084	1	432200			Census Tract 4322	37.732362	-122.155386	1015930	0	3939	1673
80	0	6	68084	1	432300			Census Tract 4323	37.729829	-122.165276	1031946	0	3282	1366
80	0	6	68084	1	432400			Census Tract 4324	37.71043	-122.182059	6154615	2158598	5411	1844
80	0	6	68084	1	432500			Census Tract 4325	37.719529	-122.168276	2178414	0	8676	2887
80	0	6	68084	1	432600			Census Tract 4326	37.721929	-122.155319	1680858	0	6401	2897
80	0	6	68084	1	432700			Census Tract 4327	37.726879	-122.141963	816177	0	2408	1075
80	0	6	68084	1	433000			Census Tract 4330	37.714029	-122.134273	1294337	0	3371	1470
80	0	6	68084	1	433101			Census Tract 4331.01	37.71198	-122.144644	1753384	0	7067	3336
80	0	6	22594	1	425100			Census Tract 4251	37.835926	-122.287253	3156884	1829152	6882	4274
80	0	6	53000	1	400100			Census Tract 4001	37.860659	-122.229488	6799198	0	2498	1177
80	0	6	53000	1	400200			Census Tract 4002	37.848476	-122.250632	659615	0	1910	873
80	0	6	53000	1	400300			Census Tract 4003	37.840626	-122.255531	1074640	0	4878	2567
80	0	6	53000	1	400400			Census Tract 4004	37.848176	-122.258791	696057	0	3659	1880
80	0	6	53000	1	400500			Census Tract 4005	37.848626	-122.264679	576343	0	3410	1592
80	0	6	53000	1	400600			Census Tract 4006	37.841776	-122.264282	315297	0	1707	746
80	0	6	53000	1	400700			Census Tract 4007	37.842976	-122.273712	852890	0	4451	1901
80	0	6	53000	1	400800			Census Tract 4008	37.844714	-122.283764	726605	0	3368	1420
80	0	6	53000	1	400900			Census Tract 4009	37.839626	-122.28185	431231	0	2456	1116
80	0	6	53000	1	401000			Census Tract 4010	37.831977	-122.273213	1166661	0	5709	2475
80	0	6	53000	1	401100			Census Tract 4011	37.830777	-122.26564	880448	0	4007	2039
80	0	6	53000	1	401200			Census Tract 4012	37.830177	-122.25842	660659	0	2432	1237
80	0	6	53000	1	401300			Census Tract 4013	37.818927	-122.267396	839208	0	2810	1454
80	0	6	53000	1	401400			Census Tract 4014	37.820495	-122.272732	755108	0	4765	1681
80	0	6	53000	1	401500			Census Tract 4015	37.82326	-122.281229	468490	0	2413	1026
80	0	6	53000	1	401600			Census Tract 4016	37.817727	-122.281949	633361	0	1933	668
80	0	6	53000	1	401700			Census Tract 4017	37.817379	-122.297362	5893809	10694655	1878	645
80	0	6	53000	1	401800			Census Tract 4018	37.810027	-122.298229	301564	0	1953	754
80	0	6	53000	1	401900			Census Tract 4019	37.805691	-122.314924	4430134	1362255	759	244
80	0	6	53000	1	402000			Census Tract 4020	37.799777	-122.284968	1128927	472370	28	12
80	0	6	53000	1	402100			Census Tract 4021	37.806827	-122.290363	274456	0	1161	715
80	0	6	53000	1	402200			Census Tract 4022	37.810094	-122.293647	273219	0	1844	656
80	0	6	53000	1	402300			Census Tract 4023	37.812677	-122.289271	420643	0	453	179
80	0	6	53000	1	402400			Census Tract 4024	37.813027	-122.282529	325496	0	2588	1141
80	0	6	53000	1	402500			Census Tract 4025	37.805827	-122.286311	369074	0	1779	711
80	0	6	53000	1	402600			Census Tract 4026	37.80444	-122.280022	290881	0	977	506
80	0	6	53000	1	402700			Census Tract 4027	37.810527	-122.277762	369668	0	1946	713
80	0	6	53000	1	402800			Census Tract 4028	37.808677	-122.271725	379216	0	1910	1356
80	0	6	53000	1	402900			Census Tract 4029	37.808277	-122.267351	386655	0	1291	921
80	0	6	53000	1	403000			Census Tract 4030	37.800477	-122.270616	335995	0	2734	1551
80	0	6	53000	1	403100			Census Tract 4031	37.802877	-122.276528	345864	0	1647	480
80	0	6	53000	1	403200			Census Tract 4032	37.797101	-122.276063	513599	194974	63	47
80	0	6	53000	1	403300			Census Tract 4033	37.796028	-122.26743	908967	127977	2310	957
80	0	6	53000	1	403400			Census Tract 4034	37.803027	-122.263178	671004	573323	3697	2518
80	0	6	53000	1	403500			Census Tract 4035	37.817327	-122.260072	834826	0	6346	3800
80	0	6	53000	1	403600			Census Tract 4036	37.814077	-122.255086	385423	0	4400	2671
80	0	6	53000	1	403700			Census Tract 4037	37.810727	-122.255304	369193	0	4652	3297
80	0	6	53000	1	403800			Census Tract 4038	37.814377	-122.242307	688424	0	3453	1945
80	0	6	53000	1	403900			Census Tract 4039	37.817427	-122.250068	506543	0	3794	2257
80	0	6	53000	1	404000			Census Tract 4040	37.823627	-122.255017	367282	0	2885	1832
80	0	6	53000	1	404100			Census Tract 4041	37.829477	-122.251767	802525	0	5337	3474
80	0	6	53000	1	404200			Census Tract 4042	37.837626	-122.228959	2739143	0	3176	1374
80	0	6	53000	1	404300			Census Tract 4043	37.845076	-122.239291	1828310	25273	3089	1336
80	0	6	53000	1	404400			Census Tract 4044	37.841726	-122.213197	4090053	0	4699	2163
80	0	6	53000	1	404501			Census Tract 4045.01	37.825209	-122.213312	1093304	18100	1575	685
80	0	6	53000	1	404502			Census Tract 4045.02	37.834859	-122.202323	3101479	0	5493	2412
80	0	6	53000	1	404600			Census Tract 4046	37.824026	-122.191823	4961442	0	4296	1782
80	0	6	53000	1	404700			Census Tract 4047	37.812344	-122.206784	1246646	0	1927	809
80	0	6	53000	1	404800			Census Tract 4048	37.806327	-122.21251	618034	0	2683	1272
80	0	6	53000	1	404900			Census Tract 4049	37.802277	-122.222819	1051420	0	4356	2023
80	0	6	53000	1	405000			Census Tract 4050	37.807327	-122.228719	846275	0	3204	1604
80	0	6	53000	1	405100			Census Tract 4051	37.812027	-122.232585	1236790	0	4161	1614
80	0	6	53000	1	405200			Census Tract 4052	37.805427	-122.244257	956285	0	4991	2570
80	0	6	53000	1	405300			Census Tract 4053	37.799977	-122.253969	413912	0	5838	3155
80	0	6	53000	1	405400			Census Tract 4054	37.795677	-122.248129	683461	0	8381	2910
80	0	6	53000	1	405500			Census Tract 4055	37.798827	-122.243216	419526	0	4147	1623
80	0	6	53000	1	405600			Census Tract 4056	37.801277	-122.236574	424816	0	3734	1484
80	0	6	53000	1	405700			Census Tract 4057	37.799394	-122.228908	543071	0	3757	1396
80	0	6	53000	1	405800			Census Tract 4058	37.793227	-122.232612	517265	0	4777	1357
80	0	6	53000	1	405900			Census Tract 4059	37.789328	-122.238745	927592	0	7883	2132
80	0	6	53000	1	406000			Census Tract 4060	37.789378	-122.249473	2166025	588518	3655	1389
80	0	6	53000	1	406100			Census Tract 4061	37.775428	-122.227926	1867510	57992	4301	1271
80	0	6	53000	1	406201			Census Tract 4062.01	37.785195	-122.230923	402899	0	5802	1475
80	0	6	53000	1	406202			Census Tract 4062.02	37.782228	-122.22647	392313	0	5084	1250
80	0	6	53000	1	406300			Census Tract 4063	37.787978	-122.225141	476306	0	4410	1244
80	0	6	53000	1	406400			Census Tract 4064	37.794262	-122.219462	536397	23415	2276	713
80	0	6	53000	1	406500			Census Tract 4065	37.787677	-122.21714	739941	0	6253	1934
80	0	6	53000	1	406600			Census Tract 4066	37.794677	-122.210101	1164904	0	7805	2702
80	0	6	53000	1	406700			Census Tract 4067	37.801677	-122.202878	1687015	0	5224	2208
80	0	6	53000	1	406800			Census Tract 4068	37.796427	-122.196402	953343	0	3611	1411
80	0	6	53000	1	406900			Census Tract 4069	37.794727	-122.19066	882554	0	3695	1504
80	0	6	53000	1	407000			Census Tract 4070	37.788227	-122.201927	860348	0	6652	2170
80	0	6	53000	1	407100			Census Tract 4071	37.779828	-122.213127	1035302	0	8376	2415
80	0	6	53000	1	407200			Census Tract 4072	37.776835	-122.217923	700732	0	7039	1823
80	0	6	53000	1	407300			Census Tract 4073	37.764928	-122.211677	2353620	258795	2516	731
80	0	6	53000	1	407400			Census Tract 4074	37.771561	-122.208135	516362	0	4157	1160
80	0	6	53000	1	407500			Census Tract 4075	37.769928	-122.197664	506005	0	4388	1307
80	0	6	53000	1	407600			Census Tract 4076	37.776545	-122.203103	1057033	0	6681	2199
80	0	6	53000	1	407700			Census Tract 4077	37.776428	-122.192953	923726	0	4599	1815
80	0	6	53000	1	407800			Census Tract 4078	37.782227	-122.188976	1199742	0	2453	806
80	0	6	53000	1	407900			Census Tract 4079	37.78766	-122.185102	1225222	0	2788	1153
80	0	6	53000	1	408000			Census Tract 4080	37.80286	-122.181481	1865209	8309	2404	928
80	0	6	53000	1	408100			Census Tract 4081	37.783527	-122.157494	8663320	0	5756	2435
80	0	6	53000	1	408200			Census Tract 4082	37.773628	-122.176722	898713	0	4388	1771
80	0	6	53000	1	408300			Census Tract 4083	37.770895	-122.164798	1521391	0	4799	1787
80	0	6	53000	1	408400			Census Tract 4084	37.764128	-122.171576	526776	0	3782	1265
80	0	6	53000	1	408500			Census Tract 4085	37.759278	-122.178692	853809	0	5307	1633
80	0	6	53000	1	408600			Census Tract 4086	37.765045	-122.183473	1086602	0	5232	1705
80	0	6	53000	1	408700			Census Tract 4087	37.768478	-122.189138	1138672	0	7504	2412
80	0	6	53000	1	408800			Census Tract 4088	37.757878	-122.195934	1196601	0	5174	1544
80	0	6	53000	1	408900			Census Tract 4089	37.753978	-122.189691	813276	0	3339	1033
80	0	6	53000	1	409000			Census Tract 4090 (part)	37.734079	-122.198893	16337546	42652834	3327	989
80	0	6	53000	1	409100			Census Tract 4091	37.732579	-122.183392	489798	0	2163	648
80	0	6	53000	1	409200			Census Tract 4092	37.727962	-122.177865	679098	0	3111	875
80	0	6	53000	1	409300			Census Tract 4093	37.735079	-122.173206	1073368	0	5492	1536
80	0	6	53000	1	409400			Census Tract 4094	37.744479	-122.177326	1265775	0	4455	1121
80	0	6	53000	1	409500			Census Tract 4095	37.750428	-122.181115	854310	0	3555	959
80	0	6	53000	1	409600			Census Tract 4096	37.751978	-122.173136	753274	0	5235	1549
80	0	6	53000	1	409700			Census Tract 4097	37.755202	-122.166493	802838	0	5208	1612
80	0	6	53000	1	409800			Census Tract 4098	37.759878	-122.15661	1766677	0	3250	1217
80	0	6	53000	1	409900			Census Tract 4099	37.758328	-122.135742	4754884	0	3499	1443
80	0	6	53000	1	410000			Census Tract 4100 (part)	37.744078	-122.135644	6582869	175854	2846	1157
80	0	6	53000	1	410100			Census Tract 4101	37.746061	-122.153328	805451	0	2784	977
80	0	6	53000	1	410200			Census Tract 4102	37.744278	-122.156925	617729	0	3550	1174
80	0	6	53000	1	410300			Census Tract 4103	37.746728	-122.166183	574017	0	3728	1030
80	0	6	53000	1	410400			Census Tract 4104	37.740929	-122.160901	702502	0	3366	1090
80	0	6	56938	1	426100			Census Tract 4261	37.821527	-122.225469	2953216	0	6126	2170
80	0	6	56938	1	426200			Census Tract 4262	37.824694	-122.241067	1418321	0	4826	1689
80	0	6	68084	1	409000			Census Tract 4090 (part)	37.722167	-122.195137	5235	0	0	0
80	0	6	49194	13	352202			Census Tract 3522.02 (part)	37.837293	-122.137592	3597063	0	1856	841
80	0	6	54232	13	352201			Census Tract 3522.01 (part)	37.850925	-122.147721	2613029	0	2090	774
80	0	6	54232	13	352202			Census Tract 3522.02 (part)	37.84456	-122.150757	725679	0	337	122
80	0	6	99999	13	352202			Census Tract 3522.02 (part)	37.832926	-122.164676	9622425	0	77	37
80	0	6	99999	13	353001			Census Tract 3530.01 (part)	37.846298	-122.198198	5536442	0	1	2
